学号	课程班级
20610093333	22级928小教文3班
20610093335	22级930小教理2班
20610093337	22级931小教理3班
20610093340	22级928小教文3班
20610093341	22级928小教文3班
20610093342	22级933小教理5班
20610093343	22级932小教理4班
20610093346	22级930小教理2班
20610093401	22级934小教（西藏）班
20610093407	22级934小教（西藏）班
20610093413	22级934小教（西藏）班
20610093415	22级934小教（西藏）班
20610093421	22级934小教（西藏）班
20610093422	22级934小教（西藏）班
20610093424	22级934小教（西藏）班
20610093425	22级934小教（西藏）班
20610093426	22级934小教（西藏）班
20610093427	22级934小教（西藏）班
20610093429	22级934小教（西藏）班
20610093430	22级934小教（西藏）班
21201070101	21音乐3班
21201070102	21音乐3班
21201070103	21音乐3班
21201070104	21音乐3班
21201070105	21音乐3班
21201070106	21音乐3班
21201070107	21音乐3班
21201070108	21音乐3班
21201070109	21音乐3班
21201070110	21音乐3班
21201070111	21音乐3班
21201070112	21音乐3班
21201070113	21音乐3班
21201070114	21音乐3班
21201070115	21音乐3班
21201070116	21音乐3班
21201070117	21音乐3班
21201070118	21音乐3班
21201070119	21音乐3班
21201070120	21音乐3班
21201070121	21音乐3班
21201070122	21音乐3班
21201070123	21音乐3班
21201070124	21音乐3班
21204070151	21舞表1班
21204070152	21舞表1班
21204070153	21舞表1班
21204070154	21舞表1班
21204070155	21舞表1班
21204070156	21舞表1班
21204070157	21舞表1班
21204070158	21舞表1班
21204070159	21舞表1班
21401030232	22应数3班
21401030235	23应数3班
21401040135	22英语3班
21401050132	22计科5班
21401050237	22网媒1班
21403030131	22信科2班
21403030146	22信科2班
21403030149	22信科1班
21403070105	22舞蹈1班
21405050130	22通信1班
21405050144	22通信1班
21405050238	22通信2班
21405060234	22市场营销2班
21406010137	22心理1班
21406010146	22心理1班
21407050231	22电信3班
21601093505	23级935思政班
21601093512	23级935思政班
21601093522	23级935思政班
21601093526	23级935思政班
21601093527	23级935思政班
21601093540	23级935思政班
21601093542	23级935思政班
21601093543	23级935思政班
21601093603	23级936思政班
21601093610	23级936思政班
21601093612	23级936思政班
21601093615	23级936思政班
21601093616	23级936思政班
21601093617	23级936思政班
21601093620	23级936思政班
21601093621	23级936思政班
21601093623	23级936思政班
21601093624	23级936思政班
21601093628	23级936思政班
21601093634	23级936思政班
21601093635	23级936思政班
21601093637	23级936思政班
21601093639	23级936思政班
21601093641	23级936思政班
21601093642	23级936思政班
21601093643	23级936思政班
21601093647	23级936思政班
21601093702	23级937思政班
21601093714	23级937思政班
21601093717	23级937思政班
21601093718	23级937思政班
21601093732	23级937思政班
21601093736	23级937思政班
21601093742	23级937思政班
21601093744	23级937思政班
21601093745	23级937思政班
21601093746	23级937思政班
21602093817	24级977汉语言文学班
21602093818	23级938汉语言文学班
21602093823	23级938汉语言文学班
21602093825	23级938汉语言文学班
21602093832	23级938汉语言文学班
21602093834	23级938汉语言文学班
21602093837	23级938汉语言文学班
